sample_0_full,sample_1_full,sample_2_full,sample_3_full,sample_4_full,sample_5_full,sample_6_full,sample_7_full,sample_8_full,sample_9_full,sample_10_full,sample_11_full,sample_12_full,sample_13_full,sample_14_full,sample_15_full,sample_16_full,sample_17_full,sample_18_full,sample_19_full
5.75,4.74,3.34,3.97,5.99,5.94,3.83,4.49,4.89,4.96,5.13,7.08,4.81,4.75,3.3,3.87,4.38,5.23,5.66,3.18
6.18,5.86,4.24,4.76,7.07,6.84,5.22,5.12,5.67,5.91,6.02,7.71,6.07,5.38,3.93,4.99,4.76,5.82,6.08,4.64
7.32,7.45,5.67,5.96,8.7,8.35,7.12,6.47,7.15,7.39,7.32,9.08,7.84,6.46,4.93,6.75,5.86,7.15,7.12,6.46
9.52,10.5,8.44,8.23,11.86,11.23,10.79,9.05,9.98,10.28,9.76,11.74,11.25,8.49,6.82,10.17,7.94,9.75,9.12,9.98
11.58,13.43,11.1,10.38,14.88,13.95,14.36,11.5,12.68,13.05,12.08,14.24,14.54,10.37,8.6,13.48,9.89,12.21,10.97,13.41
9.98,12.12,9.69,9.39,13.4,12.47,12.83,9.81,10.98,11.63,11.07,12.47,13.07,9.39,7.75,11.71,8.32,10.44,9.61,12.2
9.52,11.43,9.08,8.9,12.7,11.83,11.99,9.25,10.35,10.99,10.54,11.89,12.3,8.96,7.35,10.94,7.88,9.87,9.2,11.39
10.65,12.99,10.51,10.08,14.29,13.29,13.87,10.57,11.8,12.46,11.79,13.23,14.03,10.01,8.34,12.68,8.96,11.2,10.22,13.2
12.18,14.7,12.16,11.33,16.12,15.01,15.92,12.29,13.62,14.16,13.11,15,15.95,11.16,9.39,14.76,10.43,12.96,11.55,15.04
12.85,14.17,12.04,11,15.77,14.9,15.16,12.76,13.88,13.95,12.66,15.53,15.32,11.05,9.18,14.58,11.13,13.55,12.03,13.92
11.7,14.48,11.86,11.18,15.83,14.69,15.68,11.83,13.17,13.86,12.97,14.51,15.71,10.98,9.26,14.37,9.97,12.46,11.18,14.94
11.54,14.07,11.54,10.71,15.48,14.37,15.29,11.66,12.99,13.53,12.49,14.36,15.33,10.54,8.76,14.12,9.8,12.33,10.92,14.42
3.3,3.1,1.42,2.77,4.05,3.91,1.92,1.96,2.41,3.05,3.95,4.45,2.97,3.5,2.27,1.42,1.99,2.55,3.66,1.86
3.22,3.02,1.34,2.69,3.97,3.83,1.84,1.88,2.32,2.96,3.87,4.36,2.89,3.41,2.2,1.34,1.91,2.46,3.58,1.78
3.2,3.01,1.32,2.67,3.95,3.81,1.82,1.87,2.31,2.95,3.85,4.35,2.88,3.4,2.18,1.32,1.89,2.45,3.56,1.77
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.12,2.92,1.23,2.59,3.86,3.73,1.74,1.78,2.22,2.86,3.77,4.26,2.79,3.31,2.1,1.24,1.81,2.36,3.47,1.68
3.14,2.94,1.26,2.61,3.89,3.75,1.76,1.8,2.25,2.88,3.79,4.28,2.81,3.33,2.12,1.26,1.83,2.38,3.5,1.71
3.15,2.95,1.27,2.62,3.9,3.76,1.77,1.82,2.26,2.9,3.8,4.3,2.82,3.35,2.13,1.27,1.85,2.4,3.51,1.72
6.2,5.88,4.26,4.78,7.1,6.87,5.25,5.14,5.69,5.93,6.04,7.73,6.09,5.4,3.95,5.01,4.78,5.84,6.11,4.66
6.04,6.91,4.84,5.6,7.99,7.5,6.47,5.14,5.92,6.64,7.02,7.75,7.22,6.02,4.61,5.63,4.55,5.75,6.14,6.22
8.88,8.96,7.17,7.19,10.33,9.92,8.8,8.09,8.81,8.95,8.59,10.79,9.47,7.66,6.04,8.51,7.34,8.84,8.53,7.97
12.73,14.53,12.23,11.22,16.07,15.11,15.65,12.73,13.94,14.18,12.94,15.48,15.74,11.18,9.33,14.85,10.99,13.48,11.96,14.52
10.91,13.95,11.24,10.71,15.22,14.04,15.11,11.03,12.41,13.25,12.52,13.68,15.15,10.48,8.81,13.65,9.18,11.62,10.48,14.51
11.54,13.37,11.06,10.33,14.83,13.88,14.31,11.45,12.63,13,12.02,14.17,14.48,10.32,8.56,13.42,9.84,12.17,10.92,13.36
12.26,13.85,11.62,10.74,15.37,14.47,14.81,12.18,13.32,13.55,12.4,14.91,14.98,10.75,8.94,14.07,10.56,12.93,11.55,13.72
